price,bedrooms,bathrooms,livingArea,lotSize,yearBuilt,propertyTaxRate,taxAssessedValue,zestimate,rentZestimate,latitude,longitude,resoFacts/stories,resoFacts/hasGarage,resoFacts/hasHeating,resoFacts/hasCooling,resoFacts/hasFireplace,resoFacts/isNewConstruction,homeType
173000,3.0,2.5,2800.0,11000.0,1972.0,1.12,420920.0,537166.0,2250.0,45.51255035,-122.4111404,,False,True,True,True,,SINGLE_FAMILY
335000,3.0,2.0,1508.0,8712.0,1969.0,1.12,332480.0,418894.0,1925.0,45.5102272,-122.4275513,1.0,False,True,,True,False,SINGLE_FAMILY
425000,4.0,3.0,2365.0,7840.0,1991.0,1.12,428220.0,466994.0,2150.0,45.51594162,-122.4280319,,False,True,True,True,,SINGLE_FAMILY
300000,1.0,1.0,1582.0,23600.0,1948.0,1.12,569030.0,329848.0,1650.0,45.52602386,-122.454483,,False,True,False,True,,SINGLE_FAMILY
338000,3.0,1.0,1371.0,8712.0,1969.0,1.12,290340.0,371398.0,1849.0,45.5102272,-122.4269638,1.0,False,True,True,False,False,SINGLE_FAMILY
380000,4.0,2.0,1534.0,7405.0,1980.0,1.12,363720.0,417529.0,2000.0,45.50989914,-122.470871,1.0,False,True,True,True,False,SINGLE_FAMILY
185000,2.0,1.5,1104.0,9583.0,1982.0,1.12,211180.0,270419.0,1595.0,45.53175354,-122.472229,,False,True,True,True,,CONDO
396000,4.0,2.0,2176.0,8712.0,1972.0,1.12,328810.0,436034.0,1900.0,45.51491165,-122.4512329,3.0,False,True,True,True,False,SINGLE_FAMILY
377000,3.0,2.0,1608.0,7840.0,1978.0,1.12,369110.0,414380.0,2095.0,45.51680374,-122.4223328,2.0,False,True,,True,False,SINGLE_FAMILY
350000,3.0,2.0,936.0,9147.0,1973.0,1.12,276200.0,385384.0,1795.0,45.52239227,-122.4113388,1.0,False,True,True,True,False,SINGLE_FAMILY
205000,3.0,2.0,1400.0,,1969.0,1.12,228690.0,226661.0,1625.0,45.51208115,-122.4141922,2.0,False,True,True,False,False,CONDO
375000,3.0,3.0,2121.0,7405.0,1971.0,1.12,388880.0,414625.0,2195.0,45.53183746,-122.4618988,2.0,False,True,True,True,False,SINGLE_FAMILY
269000,2.0,3.0,1528.0,1742.0,1999.0,1.12,235910.0,297522.0,1765.0,45.53481293,-122.4888611,2.0,False,True,True,True,False,CONDO
360000,4.0,3.0,1936.0,2968.0,1995.0,1.12,274770.0,,1595.0,45.52233887,-122.4789581,,False,True,False,True,,APARTMENT
326000,3.0,2.0,1067.0,13503.0,1945.0,1.12,272050.0,362054.0,1475.0,45.5151825,-122.4740677,1.0,False,True,True,,False,SINGLE_FAMILY
339000,3.0,1.0,928.0,10454.0,1956.0,1.12,281620.0,377299.0,1695.0,45.52992249,-122.4663925,1.0,False,True,True,False,False,SINGLE_FAMILY
325000,3.0,1.0,1058.0,6969.0,1969.0,1.12,271580.0,362161.0,1805.0,45.51156235,-122.4271317,1.0,False,True,True,True,False,SINGLE_FAMILY
345000,3.0,2.0,1368.0,7405.0,1965.0,1.12,306390.0,385436.0,1920.0,45.53027725,-122.4806976,1.0,False,True,,True,False,SINGLE_FAMILY
345000,3.0,2.0,1394.0,8712.0,1956.0,1.12,292370.0,385330.0,1895.0,45.5281868,-122.4672928,1.0,False,True,,,False,SINGLE_FAMILY
285000,3.0,1.0,912.0,9147.0,1956.0,1.12,291370.0,375795.0,1800.0,45.51584244,-122.4780731,1.0,False,True,True,True,False,SINGLE_FAMILY
358000,4.0,2.0,1584.0,8276.0,1956.0,1.12,314040.0,400621.0,1895.0,45.51299286,-122.4831696,1.0,False,True,,True,False,SINGLE_FAMILY
388900,3.0,2.0,1829.0,7405.0,1970.0,1.12,351870.0,435439.0,2050.0,45.52285004,-122.4801636,1.0,False,True,True,True,False,SINGLE_FAMILY
202500,2.0,3.0,1020.0,,2006.0,1.12,179800.0,250255.0,1550.0,45.51704025,-122.4658661,2.0,False,True,True,True,False,CONDO
600000,2.0,1.0,828.0,19498.0,1954.0,1.12,207420.0,310170.0,1549.0,45.51120377,-122.4558563,,False,True,False,,,SINGLE_FAMILY
11000,4.0,2.0,1572.0,10000.0,1956.0,1.12,299490.0,407699.0,1895.0,45.52762604,-122.4677582,,False,True,False,True,,SINGLE_FAMILY
320000,3.0,1.0,1335.0,7840.0,1964.0,1.12,295310.0,359083.0,1837.0,45.51656723,-122.4310379,1.0,False,True,True,True,False,SINGLE_FAMILY
372700,3.0,2.0,1354.0,7840.0,1972.0,1.12,286720.0,418680.0,1900.0,45.52971268,-122.4640121,1.0,False,True,,True,False,SINGLE_FAMILY
332000,3.0,2.0,1074.0,3485.0,2003.0,1.12,243650.0,372959.0,1895.0,45.51254272,-122.4348831,,True,True,True,False,False,SINGLE_FAMILY
340000,3.0,2.0,1400.0,7840.0,1975.0,1.12,312810.0,381946.0,1895.0,45.51218796,-122.4219437,1.0,False,True,,,False,SINGLE_FAMILY
365000,3.0,2.0,1742.0,7700.0,1973.0,1.12,315470.0,409692.0,1895.0,45.51659775,-122.4497833,,False,True,False,,,SINGLE_FAMILY
448900,4.0,3.0,1934.0,12196.0,1997.0,1.12,385000.0,503588.0,2295.0,45.51649857,-122.4220734,2.0,False,True,True,True,False,SINGLE_FAMILY
350000,3.0,2.0,988.0,7405.0,1966.0,1.12,293540.0,392855.0,1895.0,45.52698135,-122.4590454,1.0,False,True,True,True,False,SINGLE_FAMILY
355000,3.0,1.0,1450.0,6098.0,1956.0,1.12,273570.0,398029.0,1850.0,45.521492,-122.4358063,1.0,False,True,True,True,False,SINGLE_FAMILY
333768,4.0,1.0,1108.0,6534.0,1952.0,1.12,261470.0,374224.0,1875.0,45.52465439,-122.4714966,,False,True,True,,,SINGLE_FAMILY
450000,4.0,2.0,2289.0,8276.0,1997.0,1.12,370080.0,504544.0,2195.0,45.5247879,-122.4690781,1.0,False,True,True,True,False,SINGLE_FAMILY
295000,3.0,3.0,1322.0,2613.0,2020.0,1.12,,,1595.0,45.51893997,-122.452095,2.0,False,True,,,True,CONDO
333768,4.0,1.0,1108.0,6534.0,1952.0,1.12,,374224.0,,45.52463913,-122.4714813,1.0,False,True,True,False,False,SINGLE_FAMILY
